created_at,id_str,full_text,lang,username
Tue Dec 05 09:13:34 +0000 2023,1.73197E+18,@BangPino__ Klo sy berkesempatan berhadap2an dg @aniesbaswedan sy akan lakukan 1 hal ytu membuat MoU antara mhswa dg beliau sbg presiden jika terpilih utk siap menemui demonstran ketika jika nanti dilakukan unjuk rasa.,in,Dekamtudepret
Wed Dec 06 01:14:06 +0000 2023,1.73221E+18,@BangPino__ Milenial bro..  Ad yg ngaku katanya didukung banyak milenial Tp gx berani dialog terbuka dgn mahasiswa.. Cuaksss 🤪,in,kamaloeby
Tue Dec 05 08:33:38 +0000 2023,1.73195E+18,@BangPino__ Jujur jawabannya masih muter2  tapi apresiasi sebesar2nya mau ikut dialog sama Mahasiswa dan gak kabur wkwkwk,in,achmawardii
Tue Dec 05 11:53:03 +0000 2023,1.73201E+18,@BangPino__ Btw btw btw hanya ada di kota aku aja atau emang dibanyak kota ya baliho pak anies ini ndak ada ? :” kalau pulang kerja yg diliat kebanyakan baliho nya pak pbw dan pak gnjr🫠,in,polarissenja
Tue Dec 05 07:24:31 +0000 2023,1.73194E+18,@BangPino__ 👍👍👍👍,qme,AliyusZA
Tue Dec 05 22:59:04 +0000 2023,1.73217E+18,@BangPino__ pal ada imak @enonaufal,in,kevandmwn
Tue Dec 05 11:03:43 +0000 2023,1.73199E+18,@BangPino__ mantep sih  tp entah knp kalo liat realita sulit menang beliau ini menghadapi calon lainnya imo,in,nir12345535
Tue Dec 05 23:26:27 +0000 2023,1.73218E+18,@BangPino__ @Louis_chantika Tjakep👍🇮🇩,in,sangbarry
Tue Dec 05 11:08:50 +0000 2023,1.73199E+18,@BangPino__ Hadir untuk berkeadilan  ini yang namanya pemimpin mengayomi .. semoga negeri ini diberkahi keadilan ... AMIN,in,emenoel
Tue Dec 05 07:59:44 +0000 2023,1.73195E+18,@BangPino__ keren abangku rispek,in,lazuarnovic
Tue Dec 05 09:38:25 +0000 2023,1.73197E+18,@BangPino__ Titip pertanyaan. Kalau bapak jadi presiden  mau ambil fee/cashback dari proyek-proyek ngga?,in,dekiikantata
Wed Dec 06 00:02:19 +0000 2023,1.73219E+18,@BangPino__ Nggak kebayang kalau asam sulfat dihadirkan seperti ini …. Bisa naik asam uratnya,in,ibashori
Tue Dec 05 15:02:38 +0000 2023,1.73205E+18,@BangPino__ bosen pertanyaan ttg ikn  petugas partai dan uu ite. Coba tanyakan apakah program KIP akan bapak lanjutkan? Bpjs apakah tetep bakal berlaku? mau tau jawabannya soalnya kalau dua hal ini dirubah bakal ngurus ngurus lagi. Ini keresahan saya dan semoga bisa dijawab,in,jsksvsjsuwb
Tue Dec 05 10:28:40 +0000 2023,1.73198E+18,@BangPino__ Kalau saja dari era reformasi Indonesia sudah melihat sosok calon pemimpin seperti Bapak Anies maka saya yakin Indonesia sudah menjadi negara yang adil  makmur dan beradab. Tidak seperti di era regime pak lurah yang penuh dengan tipu daya  gimick bodoh,in,FranklinTheGoon
Tue Dec 05 08:45:56 +0000 2023,1.73196E+18,@BangPino__ Kriteria seorang pemimpin yg berbicara dng ilmu dan tak menjelekkan  orang lain👍👍👍,in,joe_ijul
Tue Dec 05 12:07:35 +0000 2023,1.73201E+18,@BangPino__ pejabat  aparat  mahasiswa kebanyakan beraninya sama pak anies doang ya   hehe🤭,in,MrMaff4
Tue Dec 05 21:49:47 +0000 2023,1.73216E+18,@BangPino__ jawaban bijak saat dijebak :  1. Tidak menyinggung keadaan yg ramai diperbincangkan sekarang trhadap cawapres sebelah. 2. menghargai UU yg telah di buat  tp bukan berarti dilanjutkan apa lagi dikebut.  3. Menuruti perintah ketua partai  tp dgn beberapa syarat. Terlihat elegan,in,mudeedoo
Tue Dec 05 10:24:21 +0000 2023,1.73198E+18,@BangPino__ Smart ya  jauh amat dgn si Blimbing Sayur yg tutup acara dgn alasan jam 9 tiduurr 😂😂😂,in,Nung94Irawan
Tue Dec 05 14:23:17 +0000 2023,1.73204E+18,@BangPino__ Dah paling bener ini sih,in,rozaynmalk
Wed Dec 06 04:20:23 +0000 2023,1.73225E+18,@BangPino__ wkwkwk mirip sama pas debat sm ahok kayknya  semua ngerasa bisa dikerjain padahal 🤪,in,rubenhutabarat
Wed Dec 06 04:42:53 +0000 2023,1.73226E+18,@BangPino__ Makasih pak anies utk penjelasannya  mulai skrg sy tdk lg menolak ikn  dan mdh2an ikn dpt terlaksana di wkt yg tepat,in,CuteAbe2
Wed Dec 06 04:19:04 +0000 2023,1.73225E+18,@BangPino__ Heran orang orang yang milih belimbing sayur,in,kangbakso86
Wed Dec 06 03:50:51 +0000 2023,1.73225E+18,@BangPino__ Bagus sih jawabannya tapi tidak konsisten dengan apa yang telah di ucapkan kemarin jadinya ambigu apakah bisa di percaya atau tidak soal pernah mengatakan IKN tidak akan di lanjutkan  pernah juga di katakan IKN soal undang-undang.,in,Didi_Gunawan21
Tue Dec 05 11:49:24 +0000 2023,1.732E+18,@BangPino__ Gila Jawaban ini… Kalo orang ga Cerdas bakalan susah jawab,in,ari_plajoe
Wed Dec 06 03:51:49 +0000 2023,1.73225E+18,"@BangPino__ biarkan rakyat yang menilai""""",in,sagitarommy
Wed Dec 06 04:43:19 +0000 2023,1.73226E+18,@BangPino__ Si gemoy mana bisa diajak diskusi di forum mahasiswa gini nggak bang,in,tapeketan07
Tue Dec 05 11:08:22 +0000 2023,1.73199E+18,@BangPino__ rata2 yg ga ngerti omongan pak anies akun akun baru ya,in,imloseeee
