,tanggal,tweet,username,tweet_url
439,Tue Dec 05 06:57:21 +0000 2023,dapat memberikan landasan yang kuat untuk mengembangkan sektor industri dengan mengoptimalkan pemanfaatan kekayaan alam yang ada. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,itstuti100,https://twitter.com/itstuti100/status/1731930742886904074
440,Tue Dec 05 06:57:20 +0000 2023,"dan kelapa sawit sebagai komoditas yang dibutuhkan industri pangan dan energi, #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",itstuti100,https://twitter.com/itstuti100/status/1731930739598332114
441,Tue Dec 05 06:57:19 +0000 2023,"Yang paling penting kampanye ini harus memberikan asas manfaat juga, kepada seluruh rakyat Indonesia,"" kata Rosan.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto""",HeryWP,https://twitter.com/HeryWP/status/1731930736280699268
442,Tue Dec 05 06:57:19 +0000 2023,"Politikus yang saat ini mendapat julukan Gemoy tersebut, menilai bahwa keberadaan batubara sebagai sumber energi, nikel untuk industri logam, #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",itstuti100,https://twitter.com/itstuti100/status/1731930736083730870
443,Tue Dec 05 06:57:19 +0000 2023,"Selain itu, kata Rosan, aturan yang sudah ada dari KPU dan Bawaslu juga harus ditaati.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",HeryWP,https://twitter.com/HeryWP/status/1731930733302718827
444,Tue Dec 05 06:57:19 +0000 2023,"Menyadari potensi tersebut, Prabowo meyakini bahwa pemanfaatan SDA secara optimal dapat menjadi pilar utama untuk mendorong pertumbuhan industri di Indonesia. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",itstuti100,https://twitter.com/itstuti100/status/1731930732694794260
445,Tue Dec 05 06:57:18 +0000 2023,"Dia menyebutkan, para tim kampanye di level nasional dan daerah harus menerapkan arahan itu dengan baik.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",HeryWP,https://twitter.com/HeryWP/status/1731930730501136659
446,Tue Dec 05 06:57:18 +0000 2023,"Menurutnya, Indonesia adalah negara dengan kekayaan Sumber Daya Alam (SDA) yang melimpah, di antaranya batu bara, nikel, dan kelapa sawit. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",itstuti100,https://twitter.com/itstuti100/status/1731930729653870982
447,Tue Dec 05 06:57:17 +0000 2023,"Rosan menjelaskan, arahan Prabowo dan Gibran tersebut sekaligus menjadi edukasi politik bagi mereka.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",HeryWP,https://twitter.com/HeryWP/status/1731930727397326867
448,Tue Dec 05 06:57:17 +0000 2023,"Indonesia ingin jadi negara industri, kita tidak mau jadi negara pasar untuk barang-barang lain,” ungkap Prabowo. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",itstuti100,https://twitter.com/itstuti100/status/1731930726600520169
449,Tue Dec 05 06:57:16 +0000 2023,"Tidak boleh menjelek-jelekkan paslon lain, bermartabat, dan dibawa dengan riang gembira. Karena ini pesta demokrasi,"" sambungnya. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto""",HeryWP,https://twitter.com/HeryWP/status/1731930723689312354
450,Tue Dec 05 06:57:16 +0000 2023,"“Kita sudah punya rencana, kita sudah punya kajian, kita sudah punya peta di depan yang kita beri nama pohon industri. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",itstuti100,https://twitter.com/itstuti100/status/1731930723328651400
451,Tue Dec 05 06:57:16 +0000 2023,"intinya tadi, jadi yang disampaikan bahwa kita harus menjalankan pesta demokrasi ini dengan santun baik, ujar Rosan dalam jumpa pers di Hotel Borobudur, Jumat.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto""",HeryWP,https://twitter.com/HeryWP/status/1731930720967270642
452,Tue Dec 05 06:57:16 +0000 2023,Menteri Pertahanan itu mengungkapkan jika tidak ingin Indonesiasekedar menjadi negara pasar. #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,itstuti100,https://twitter.com/itstuti100/status/1731930719922851919
453,Tue Dec 05 06:57:15 +0000 2023,"Pesan dari Pak Prabowo dan Mas Gibran sudah disampaikan,  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto""",HeryWP,https://twitter.com/HeryWP/status/1731930717595025518
454,Tue Dec 05 06:57:15 +0000 2023,"Dalam sebuah orasi politiknya pada kegiatan doa bersama 2000 kiai se-Banten di Lebak, Banten, Minggu (3/12), #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto",itstuti100,https://twitter.com/itstuti100/status/1731930716731261359
455,Tue Dec 05 06:57:14 +0000 2023,seperti Anies Baswedan-Muhaimin Iskandar (Cak Imin) dan Ganjar Pranowo-Mahfud MD.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju #PrabowoGemoy Prabowo Subianto,HeryWP,https://twitter.com/HeryWP/status/1731930714424148422
