Data,Kadar_Air ,Tak_Larut,Kalsium,Magnesium,Sulfat ,NaCl_(wb),NaCl_(db),Grade
233,12.79069767,0.139744102,0.210031188,1.022151779,1.434139347,81.26401395,93.182736,K2
234,6.403013183,0.440594683,0.473796048,0.540127494,1.291783245,87.63797496,93.63332938,K2
235,5.871212121,0.211921535,0.541328286,0.903782878,1.115276115,88.18198482,93.68226958,K2
236,4.664179104,0.175555058,0.418726907,0.530387416,1.478680501,89.29008667,93.65848621,K2
237,8.490566038,0.181190544,0.242135249,0.813574436,1.276764248,85.0347648,92.92458834,K2
238,8.745247148,0.202144489,0.311962013,0.481312821,1.227936813,84.41947906,92.50967913,K2
239,7.751937984,0.589051904,0.264515158,0.846448506,1.088602368,85.20049877,92.36020455,K2
240,11.3243762,0.529716666,0.275166075,0.797981617,1.322952041,84.53205584,95.32727509,K2
241,5.871212121,0.432821677,0.281073413,0.55782262,1.116281679,91.03837968,96.71682992,K2
242,7.384615385,0,0.285391355,0.553220164,0.781951566,87.68084752,94.67201144,K2
243,10.25145068,0.006394322,0.271985718,1.686311452,1.499641148,81.16753238,90.43882379,K2
244,5.871212121,0.432821677,0.281073413,0.55782262,1.116281679,91.03837968,96.71682992,K2
245,7.984790875,0.323445393,0.361451256,1.055437667,2.486669609,79.29942725,86.18078251,K2
246,7.007575758,0.516236702,0.349655648,0.668716428,1.241817857,86.59225361,93.11753546,K2
247,9.89,0.043810912,0.247472581,1.13387437,1.125605211,82.67545975,91.74948369,K2
248,5.675146771,0.364020174,0.51713948,0.451321728,1.838714235,85.76453258,90.92463931,K2
249,6.457242583,0.138172016,0.217295939,0.691001087,0.879850832,89.09103896,95.24098008,K2
250,4.6875,0.452311425,0.348490716,0.460007745,1.466394371,89.22265766,93.61065721,K2
251,4.6875,0.452311425,0.348490716,0.460007745,1.466394371,89.22265766,93.61065721,K2
252,4.980842912,0.439901747,0.326728525,0.616116647,1.204652937,88.13049925,92.75024316,K2
253,3.409090909,0.237407328,0.298067763,0.467737106,1.879429291,91.75582513,94.99426602,K2
254,4.980842912,0.439901747,0.326728525,0.616116647,1.204652937,88.13049925,92.75024316,K2
255,8.518518519,0.012778889,0.222191644,0.653243433,0.844426901,86.85355033,94.94112789,K2
256,9.904761905,0.628242777,0.315794628,0.920315772,1.269013953,83.22364656,92.37296923,K3
257,1.169590643,0.639230525,0.538205074,0.067275634,1.284424676,93.97784023,95.09000402,K3
258,1.169590643,0.639230525,0.538205074,0.067275634,1.284424676,93.97784023,95.09000402,K3
259,4.222648752,0.482097243,0.127465763,0.305917831,1.129469578,89.83357586,93.7941744,K3
260,11.71875,0.093942319,0.460970062,1.009524435,1.225391779,79.91006016,90.51759027,K3
261,11.71875,0.093942319,0.460970062,1.009524435,1.225391779,79.91006016,90.51759027,K3
262,10.07751938,0.460202657,0.316573226,0.529129535,1.182548779,84.90439741,94.4195454,K3
263,11.17533719,0.25747847,0.504036455,0.769801131,0.934623978,83.22273996,93.69327992,K3
264,1.169590643,0.639230525,0.538205074,0.067275634,1.284424676,93.97784023,95.09000402,K3
265,5.152671756,1.159684384,0.537416237,0.266371526,1.420652997,87.57948913,92.33732858,K4
266,8.31758034,0.563296946,0.386407531,0.637572427,1.275815403,86.38260423,94.21937657,K4
267,0.75,1.28,0.7,0.18,1.8,91.1,92.27,K4
268,0.79,1.3,0.79,0.2,1.8,91.1,92.27,K4
269,2.793296089,0.03275349,0.341825471,0.177749245,1.422744297,90.19573263,92.78756403,K4
270,3.238095238,0.483501196,0.366320635,0.329688572,1.417252195,91.95498918,95.03222307,K4
271,0.6479,1.259286917,0.601844391,0.160491838,1.722932812,89.68569993,90.2705629,K4
272,9.732824427,0.027965602,0.270330665,0.689343195,1.321107883,84.10972307,93.17863613,K1
273,5.73012939,0.139055938,0.282087784,0.535966789,1.399155601,92.57231779,98.19926259,K1
274,5.73012939,0.139055938,0.282087784,0.535966789,1.399155601,92.57231779,98.19926259,K1
275,5.938697318,0.261604976,0.28257947,0.720577649,1.596017525,88.66723537,94.26537039,K1
276,9.732824427,0.027965602,0.270330665,0.689343195,1.321107883,84.10972307,93.17863613,K1
277,5.938697318,0.261604976,0.28257947,0.720577649,1.596017525,88.66723537,94.26537039,K1
278,9.28030303,0.279241391,0.317702617,0.102642384,1.39791121,84.64807872,93.30727675,K1
279,7.85440613,0.415753481,0.286932915,1.178632128,1.872632156,84.90450871,92.14169137,K1
280,7.85440613,0.415753481,0.286932915,1.178632128,1.872632156,84.90450871,92.14169137,K1
281,9.13884007,0.498887696,0.223937958,0.913666869,1.262109316,84.1988852,92.66763188,K1
282,4.952380952,0.284992525,0.428105173,0.423824121,1.15836477,89.79616453,94.47492261,K1
283,7.19,0.051129952,0.197165504,0.749228917,1.333003868,88.17569918,95.00667943,K1
284,4.007633588,0.332318194,0.415617017,0.443324818,0.981035948,99.74914391,103.9136211,K1
285,7.82778865,0.042330916,0.2402799,0.807340463,1.347226215,83.91560154,91.04219191,K1
286,8.108108108,0.590494124,0.216902499,0.954370994,1.183175932,85.01195839,92.51301354,K1
287,8.783783784,0.029383193,0.200770493,0.950313665,1.112958626,84.32144978,92.4412931,K1
288,7.858546169,0.311640367,0.336664813,0.706996108,1.883720849,86.00382335,93.33890423,K1
289,6.285714286,0.338801676,0.13012386,0.481458281,1.188095817,91.46117979,97.59577112,K1
290,9.37,0.028334151,0.201715919,1.075818236,1.153539719,83.94694731,92.62600387,K1
291,3.428571429,0.178272847,0.321218583,0.454294853,1.234948874,93.04349365,96.34681295,K1
292,6.066536204,0.354512136,0.173258647,0.376837558,1.883440165,91.35239425,97.25223638,K1
